1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
,zibracrossing,doorway,goggles,handcuffs,goggles,tetrahedron,winged sceptor,owl,letter A,fork,goblet,keyhole,Flower,plant pot,Icecream cone,goblet,ice cream,globe,hanger,Infinity symbol,Flag,Kite,gun barrel,lamp,letter P,door,insect head,door hinge,c-clamp,person,Hammer,key,hourglass,eyes nose,location marker,clover,Mickey Mouse,gift bow,ear,gift box,square,keyhole,hanger,lobby button,eight,Crosshair,letter E,heart,Key,present,pattern,lightening bolt,golf club,shovel,eyeball,scissors,umbrella ,hat,trapezium
,,dried,heart,joined letters,handcuffs,tree,,,Numeral Three,goal post,House,letter T,half circle,shield,lightbulb,guitar pick,icecream cone,hanger,hill,person,goggles,Lollipop,hammer,letter C,lightning bolt,door,Lollipops,Fish,chair,Rocket ship ,hammerhead hark,keyhole,ice cream,face,peace sign,club suit,owl,glasses,flagpole,heart,table frame,lollipop,head,logo,face,dog shape,letter T,ice cream,martini glass,RADIO,picket fence,microscope,key,spade,Large circle,Small Peaks,,house,TV
,,dumbbell,hummer,key,hourglass,umbrella,,,pitchfork,harmer,lamp,magnifying glass,headphones,square,magnifying glass,Head,Incomplete heart,jellyfish,hot air balloon,person's torso,heart,magnifying glass,Horse,letter F,pickaxe,euro symbol,owl,goal post,cross,snowman,keyhold,lamp,Infinity pyramid ,film camera,pitchfork,cup and ball,shamrock,glasses and nose,goal post,key,tic-tac-toe,musical symbol,heart,lottery ball,Grenade,dollar sign,letter x,love,mirror,Robot,plus sign ,musical note,key,stand,peace sign,Spring,,rhombus ,
,,eye glasses,music notes,letter D,house,wine glass,,,Rake,interval graph,magnifying glass,martini glass,horseshoe,square ,paper airplane,heart,keyhole,key,Hourglass,pictogram,horn,microphone,inverted chair,letter J,sailboat,fork,plus sign,hanger,door key,speaker,lamp,lollipop,infinity symbol,glasses,rake,dragonfly,smiley face,Hourglass,House,letter R,two boxes,Oval pile,hot soup,magnifying glass,handcuffs,key,letter Y,M triangle,person,robot arm,signpost,number 6,music clef,Tree,pie chart,stacked triangles,,rocket,
,,fancy binoculars,owl,minor note,infinity sign,,,,Sideways E,milking stool,mushroom,monogram,Huge circle,trapezium,pizza slice,hot air balloon,magnifying glass,Kite,Human Profile,pool,Icecream cone,Pool,lamp post,letter T ,triangle,gate latch,ribbon,hospital sign,Drill,stick figure,lollipop,magnifying glass,man,goggles,rake,dumbbell,snowman,ice cream,key,luggage tag,vertical rectangles,pendulum,infinity symbol,person,heart ,keychain,line graph,mountain,slingshot,Satellite dish,Square rotated,pitching wedge,music note,Tulip ,Potato,table,,sailboat,
,,female torso,pulley,pulley,insect head,,,,square ,pitchfork,person,mortar & pestle,mushroom,,shelf bracket,house roof,Martini,mechanical arm,ice cream,statue,keyhole,sculpture,letter H ,Lower H,,goal post,sunglasses,House ,fish,stick person,martini glass,mop,movie projector,heart,roof shape,eyeglasses,Venn diagram,Ice cream cone,keyhole,magnifying glass,waffle,pie chain,ink pencil,power button,heart ,Kite,pedestal table,owl,Standing lamp,Square ,star,sailboat,music note,wine glass,power button,tape dispenser,,ship sail,
,,glasses,spectacles,scissors,owl,,,,Tree,rake,question mark,Mushroom,Music Note,,shield,ice cream,medal,music note,keyhold,lollipop stand,lowercase a,staff,letter N,lowercase h,,handle,,keyhold,fish bone,Sun Horizon,mushroom,mushroom,Owl face,nose/eyes,slingshot handle,flower,,infinity symbol,letter B,Mailbox,window,power button,keychain,wheelchair,hourglass,lamp,plus sign,pendant lights,stick figure,television,step stool,spade,paperclip,yield sign,registered trademark,tie,,tree,
,,hook,stingray,tongs,percentage sign,,,,Trident,stairs,semicircle ,pentgon,oval,,sno-cone,icecream cone,music symbol ,oval,lightbulb,woman,magnifying glass,Stop sign,lowercase h,number 4,,ladder,,ladder,fish skeleton,tripod,nine,pan cover,scissors,owl face,spearhead,flower,,love knot,letter R,mug,,question mark,ladybug,,human face,mountain,signpost,Pizza,stick person,transistor radio,Sword ,swing set,smoking pipe,,sign,truss bridge,,tripod,
,,key,tongs,two chairs,shades,,,,two triangles,table,shovel,Scale,owl,,Trapezoid ,lantern,parabola ,purse,magnifying glass,headphones,Math symbol,streetlamp,pickaxe,number 7,,letter W,,lamp,goal post,tuning fork,scarecrow,planted sapling,spade,party hat,Teepee,flower,,owl,Lighter,note,,royal scepter,lit match,,ice cream,Mouse,square,scissors,stickman,TV,toothbrush,tulip,wrench,,sliced pie,windmill,,vortex,
,,poll,two ds,two lungs,snail,,,,,trident,skeleton key,shovel,owl face,,Triangular diamond,necklace,Pencil,s-hook,padlock,keyhole,padlock,superman logo,Pie symbol ,open box,,parallel lines,,potted plant,helicopter,umbrella,spatula,plunger,Volcano,scissors,tree branch,flower bud,,person's torso,mug,paper clip,,saxophone,lollipop,,lamp,musical clef,T-square,Triangle,tree,upside-down person,triangle,turtle,,,tabacco pipe,window,,,
,,pulley,,vase,snowman,,,,,two squares,swimming,sign,semi-circle,,trophy,parachute,Pie,scissors,pedestal,snowman,padlock,traffic stop ,pipe fitting,pickaxe,,parking lot,,power button,hinge,,stick figure,pot lid,,spade,tree diagram,glasses,,pulley,padlock,paperclip holder,,snake,magnifying glass,,lightbulb,Pill,table,,trident,weight balance,,wall sconce,,,verified icon,zipper,,,
,,spade,,woman,spetacle,,,,,,Umbrella,skeleton key,sunglasses,,Volcano ,Paris,revolver,Sd,person,hot air balloon,ping pong,weathervane,plus sign,pole,,plug,,road,key,,table,power button,,tree,triangle,Hammer,,scissors,PC,pipe clamp,,Snake ,musical note,,medal,pulley,tee,,wine glass,wheelbarrow,,,,,,Zorro symbol,,,
,,spectacles,,,,,,,,,wine glass,stapler,tent,,whale tail,shelf bracket,sailboat,Sphere,propeller hat,crystal ball,play button,Yinyang Medallion,rake,stick,,rail tracks,,shovel,letters id,,teeball,semicircle,,,tripod,information icon,,small circles,pitcher,pistol,,snake donut,necklace ,,muffin,scissors,Tent,,,,,,,,,,,,
,,umbrella,,,,,,,,,,tear drop,toilet,,,shield,shield,start line,pulley,coffee mug,power button,,rectangle,table,,rectangle ,,spade,person,,tree,shovel,,,tuning fork,key,,snowman,point right,Point ,,spoon,OVAL,,mushroom,snail,tetris block,,,,,,,,,,,,
,,wine glass,,,,,,,,,,toilet,,,,slingshot frame,speech bubble,Steam ,ring,power button,rectangle,,robot claw,triangle,,Ruler,,stool,plug,,umbrella,spade,,,volcano,magnifying glass,,stick figure,pouch,pregnancy,,stethoscope,pitchfork,,mustache,Square,uppercase pi,,,,,,,,,,,,
,,,,,,,,,,,,umbrella,,,,snowcone,Speed Bump,tape dispenser,Snowglobe,magnifying glass,rewind button,,Square,wrench,,Square ,,top,prison bars,,wine glass,Stake ,,,,person,,,Race track,road,,sucker,pocketwatch,,number 3,stethoscope,,,,,,,,,,,,,
,,,,,,,,,,,,upended umbrella,,,,Spade,trophy,teapot,snowman,bowler hat,speaker sign,,Straight line,,,staple remover,,trident,shovel,,,Stick,,,,Race track,,,sideways lock,semi circle,,Swing,pumpkin,,number 8,teapot,,,,,,,,,,,,,
,,,,,,,,,,,,window,,,,tulip,van,teapot,speech bubble,treble clef,speech bubble,,Thread holder,,,table chair,,,train,,,tank turret,,,,snow man,,,Toilet,shopping cart,,theta,question mrk,,pop-up toaster,treble chef,,,,,,,,,,,,,
,,,,,,,,,,,,wine glass,,,,wine glass,water glass,USB connector,Sunrise,guitar silhouette,stick figure,,trident,,,,,,train car,,,Triangle ,,,,stick figure,,,traffic light,square bulge,,unicycle,Semicircle,,port ,Vase,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,wishbone,,USD symbol,Trophy,music note,triangle circle,,tuning fork,,,,,,wheelchair,,,umbrella,,,,Tree,,,tuning fork,staple gun,,watch,small kite,,Prize Ribbon,Wings,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,wang jangle,Vessel,,,,windmill,,,,,,window,,,,,,,weightlifter,,,,trapezium,,weather vane,smoking pipe,,snowman,Yo-yo,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ying yang,woman,,,,wrentch,,,,,,wing ding,,,,,,,,,,,turtle,,yo-yo,snake,,spade,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water Pitcher,,zooming ball,Stringray,,staple remover,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sun glasses,,treble clef,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sunglasses,,tuning fork,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,swan,,window,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sword,,yin yang,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tadpole,,,,,,,,,,,,,,,,
