,Model,overall_score,normal_score,expert_score,diff_normed_score,n_graded,n_ungraded,n_total,mean_score_per_item,mean_diff_normed_score_per_item,accumulated_difficulty
10,OpenAI: GPT 4.1 - Multiple Context (2025-07-21),101.28690476190478,89.07380952380953,113.5,37.912939535719424,48,0,48,2.1101438492063496,0.7898529069941547,30.728025722888507
11,OpenAI: GPT 4.1 - Single Context (2025-07-21),97.16785714285716,89.3357142857143,105.0,35.833055916368146,48,0,48,2.0243303571428575,0.7465219982576697,30.728025722888507
12,OpenAI: GPT 4.1 w/ GPT-image-1 - Multiple Context (2025-07-21),96.07261904761903,89.1452380952381,103.0,35.64877647763613,47,1,48,2.0015128968253966,0.7426828432840861,30.728025722888507
13,OpenAI: GPT 4.1 w/ GPT-Image-1 - Single Context (2025-07-21),92.7547619047619,84.50952380952381,101.0,34.577894360830406,48,0,48,1.932390873015873,0.7203727991839668,30.728025722888507
14,OpenAI: GPT 5 - Multiple Context - High Reasoning (2025-09-11),148.7916666666667,130.08333333333334,167.5,55.717347126486374,48,0,48,3.0998263888888897,1.1607780651351327,30.728025722888507
15,OpenAI: GPT 5 - Multiple Context - High Reasoning (2025-09-15),161.0809523809524,145.1619047619047,177.0,59.59260371361084,48,0,48,3.355853174603175,1.2415125773668925,30.728025722888507
16,OpenAI: GPT 5 - Multiple Context - Low Reasoning (2025-09-15),118.29404761904765,103.58809523809525,133.0,43.72600226614699,48,0,48,2.464459325396826,0.910958380544729,30.728025722888507
17,OpenAI: GPT 5 - Multiple Context - Medium Reasoning (2025-09-16),140.39166666666665,118.28333333333333,162.5,51.94201712289187,48,0,48,2.9248263888888886,1.082125356726914,30.728025722888507
18,OpenAI: GPT 5 - Multiple Context - Minimal Reasoning (2025-09-16),100.27023809523808,92.54047619047618,108.0,36.82899250677352,48,0,48,2.0889632936507936,0.7672706772244483,30.728025722888507
19,OpenAI: o3 - Multiple Context - High Reasoning (2025-07-21),135.30119047619047,125.60238095238095,145.0,50.673881759795,48,0,48,2.8187748015873013,1.0557058699957291,30.728025722888507
20,OpenAI: o3 - Multiple Context - High Reasoning (2025-09-15),159.16428571428574,143.82857142857145,174.5,59.23182442938971,48,0,48,3.3159226190476194,1.2339963422789524,30.728025722888507
21,OpenAI: o3 - Multiple Context - Low Reasoning (2025-09-12),124.41190476190475,105.32380952380954,143.5,45.79629141336973,48,0,48,2.591914682539682,0.9540894044452027,30.728025722888507
22,OpenAI: o3 - Multiple Context - Medium Reasoning (2025-09-12),134.84404761904761,119.68809523809524,150.0,49.42667909025279,48,0,48,2.809250992063492,1.0297224810469332,30.728025722888507
23,OpenAI: o3 - Single Context - High Reasoning (2025-07-21),154.16309523809525,137.82619047619048,170.5,57.582857708488795,48,0,48,3.2117311507936512,1.19964286892685,30.728025722888507
24,OpenAI: o3 Pro - Multiple Context - High Reasoning (2025-07-21),156.3678571428572,138.73571428571427,174.0,57.64299225798605,48,0,48,3.2576636904761913,1.2008956720413761,30.728025722888507
25,OpenAI: o3 Pro - Multiple Context - High Reasoning (2025-09-16),147.97738095238097,128.9547619047619,167.0,55.229789023081295,48,0,48,3.0828621031746035,1.150620604647527,30.728025722888507
26,OpenAI: o3 Pro - Single Context - High Reasoning (2025-07-21),160.88095238095238,143.26190476190476,178.5,60.75225653369584,48,0,48,3.351686507936508,1.2656720111186635,30.728025722888507
27,OpenAI: o3 w/ GPT-image-1 - Multiple Context - High Reasoning (2025-07-21),130.61666666666665,116.23333333333333,145.0,49.52467419576439,48,0,48,2.7211805555555553,1.0317640457450914,30.728025722888507
28,OpenAI: o3 w/ GPT-image-1 - Multiple Context - High Reasoning (2025-07-22),121.91190476190478,105.82380952380954,138.0,45.983108193946045,48,0,48,2.5398313492063496,0.9579814207072093,30.728025722888507
29,OpenAI: o3 w/ GPT-image-1 - Multiple Context - High Reasoning (2025-07-23),135.41785714285717,120.33571428571429,150.5,50.832744755573074,48,0,48,2.821205357142858,1.0590155157411056,30.728025722888507
30,OpenAI: o3 w/ GPT-image-1 - Multiple Context - High Reasoning (2025-07-24),141.75238095238097,132.0047619047619,151.5,53.009593237318015,48,0,48,2.953174603174604,1.1043665257774586,30.728025722888507
31,OpenAI: o3 w/ GPT-image-1 - Multiple Context - Med Reasoning (2025-07-14),134.21309523809526,118.42619047619044,150.0,51.08827828914075,47,1,48,2.7961061507936513,1.0643391310237658,30.728025722888507
32,OpenAI: o4-mini - Multiple Context - High Reasoning (2025-07-21),131.49285714285713,121.98571428571427,141.0,48.80683607023378,48,0,48,2.7394345238095235,1.016809084796537,30.728025722888507
33,OpenAI: o4-mini - Multiple Context - Medium Reasoning (2025-07-14),128.44642857142858,118.39285714285715,138.5,47.012007176701616,48,0,48,2.6759672619047623,0.9794168161812836,30.728025722888507
34,OpenAI: o4-mini - Single Context - High Reasoning (2025-07-21),123.62976190476188,114.75952380952381,132.5,46.02047480898133,47,1,48,2.5756200396825393,0.9587598918537776,30.728025722888507
35,OpenAI: o4-mini - Single Context - Medium Reasoning (2025-07-14),109.23452380952382,104.46904761904763,114.0,41.191051664379344,48,0,48,2.275719246031746,0.8581469096745696,30.728025722888507
