,overall_score,normal_score,expert_score,diff_normed_score,n_graded,n_ungraded,n_total,mean_score_per_item,mean_diff_normed_score_per_item,accumulated_difficulty,VVIQ_sum,VVIQ_mean,VVIQ_std,VVIQ - 01,VVIQ - 02,VVIQ - 03,VVIQ - 04,VVIQ - 05,VVIQ - 06,VVIQ - 07,VVIQ - 08,VVIQ - 09,VVIQ - 10,VVIQ - 11,VVIQ - 12,VVIQ - 13,VVIQ - 14,VVIQ - 15,VVIQ - 16
VVIQ_sum,-0.16828941647357673,-0.20152872378686684,-0.13918400799790656,-0.1449988887895307,0.07907768913405631,-0.08868079421123468,-0.07585174191245661,-0.16701777714078442,-0.1437900576946687,-0.23787351198614407,1.0,1.0,-0.1991119438674167,0.6954157191788964,0.7119890452935301,0.7004251675656237,0.7005632003351709,0.7399988987025372,0.685925855830572,0.6445979503555612,0.7531356027119873,0.7113135248201627,0.7086821126006169,0.734244725345678,0.6789478533395849,0.7454074747389701,0.7556976859521213,0.7284749123352221,0.7250722470196381
VVIQ_mean,-0.16828941647357673,-0.20152872378686684,-0.13918400799790656,-0.1449988887895307,0.07907768913405631,-0.08868079421123468,-0.07585174191245661,-0.16701777714078442,-0.1437900576946687,-0.23787351198614407,1.0,1.0,-0.1991119438674167,0.6954157191788964,0.7119890452935301,0.7004251675656237,0.7005632003351709,0.7399988987025372,0.685925855830572,0.6445979503555612,0.7531356027119873,0.7113135248201627,0.7086821126006169,0.734244725345678,0.6789478533395849,0.7454074747389701,0.7556976859521213,0.7284749123352221,0.7250722470196381
VVIQ_std,-0.050360057898072554,-0.06451423275384326,-0.03850693190294243,-0.0025750036878862247,0.08844357850926018,-0.07801233480056055,0.08316943857724532,-0.05299130974664479,-0.004696339068163965,-0.013333529655003994,-0.1991119438674167,-0.1991119438674167,1.0,-0.11435730628827877,-0.2816202505384931,-0.41197938372653486,-0.21499325279893294,0.06308775898825875,-0.037367053725171843,-0.11356259893496906,0.08419559163713601,-0.17009182098753695,-0.23501113247466046,-0.11580165130277277,-0.07580863017395328,-0.24085617375658114,-0.0023807037284666625,-0.12196742958934083,-0.2256955262288436
VVIQ - 01,-0.07148187287938111,-0.09371034693455982,-0.053060164673701414,-0.06864739249889802,0.09245556351243693,-0.08447459654176986,0.06374351699919621,-0.07367171553019207,-0.07060169318162064,-0.02237829058792454,0.6954157191788964,0.6954157191788964,-0.11435730628827877,1.0,0.6604036110756406,0.5417081862893481,0.44317089160100487,0.4887446629747265,0.3429872254534798,0.3362242868879426,0.4652087500615927,0.5618314104972771,0.5451581589745412,0.4476066293597355,0.5491423341247227,0.43444109741827774,0.38551450444942964,0.36683897071111216,0.40431620075586844
VVIQ - 02,-0.09103826300260173,-0.11807897340092274,-0.06852484541641309,-0.09229560889278376,0.09776140297744375,-0.10534060328016052,-0.05970814340265321,-0.08981907163456515,-0.0912364520400049,-0.09011608431375019,0.7119890452935301,0.7119890452935301,-0.2816202505384931,0.6604036110756406,1.0,0.6189177128091067,0.5595772216716927,0.4279501648238811,0.31278918295478075,0.4009683509347984,0.47398244194013206,0.415446178560763,0.5795583803682723,0.5462179794610654,0.44868912286074125,0.5055843384403782,0.3654521978535896,0.38935615397409107,0.42256059213293645
VVIQ - 03,-0.10812649311022844,-0.14036866246304333,-0.08129322325500704,-0.11812180968913631,0.11292704432556046,-0.12398005413079896,-0.0872064725627159,-0.10621500293152092,-0.11649269349006894,-0.14907155391283866,0.7004251675656237,0.7004251675656237,-0.41197938372653486,0.5417081862893481,0.6189177128091067,1.0,0.507491852180969,0.3881357042494994,0.3641033869578251,0.3701028806247818,0.4218781069651021,0.4876362730175672,0.5005438860069331,0.4629793751527712,0.3525356585656812,0.5796630476771599,0.3829323112359827,0.41787248832476775,0.5402455998766231
VVIQ - 04,-0.08061801609831688,-0.10819290669047231,-0.05797000956492154,-0.04888730079904777,0.09632540651590969,-0.10312385944949991,-0.053519039687293476,-0.07952002145186204,-0.04777122380961772,-0.298470437183721,0.7005632003351709,0.7005632003351709,-0.21499325279893294,0.44317089160100487,0.5595772216716927,0.507491852180969,1.0,0.45826061385652644,0.5136630857042936,0.5103936986088058,0.5423970664296863,0.39285218239320585,0.34606266773171196,0.4003900876125268,0.32680722258562644,0.5025426672986016,0.5022012374966345,0.515346187719077,0.4365477705308992
VVIQ - 05,-0.12111094264515143,-0.16635615644683316,-0.08423330754509659,-0.08885871609845725,0.11076740375617572,-0.11406547526572614,-0.025677982272613975,-0.12101822629234962,-0.08864541800038532,-0.22951206994959597,0.7399988987025372,0.7399988987025372,0.06308775898825875,0.4887446629747265,0.4279501648238811,0.3881357042494994,0.45826061385652644,1.0,0.6236724270918538,0.5433857705897264,0.6683602630666513,0.4430598174852302,0.43219180027013715,0.5315440081819015,0.45857884586991776,0.546010770967014,0.5521480906280123,0.5069193811077164,0.44776554469515717
VVIQ - 06,-0.12264458133622118,-0.13811437296241721,-0.10797368448650119,-0.09629591361691678,0.15722374865932753,-0.1604946077865444,-0.025255128471464505,-0.12257197088714285,-0.09612997330061475,-0.16400977966716376,0.685925855830572,0.685925855830572,-0.037367053725171843,0.3429872254534798,0.31278918295478075,0.3641033869578251,0.5136630857042936,0.6236724270918538,1.0,0.6626236546219325,0.5733602949129206,0.44983512079294874,0.33472529365496984,0.37071847353416254,0.37967947914807537,0.4144772212398015,0.5212636003990238,0.508813471110167,0.4547687959469168
VVIQ - 07,-0.054765544485538394,-0.0807904215802276,-0.03393180963786326,-0.04733261234428968,0.14126448280440335,-0.14671125670093754,-0.04259284415143819,-0.0538422419701928,-0.04648589585121615,-0.07353012652634587,0.6445979503555612,0.6445979503555612,-0.11356259893496906,0.3362242868879426,0.4009683509347984,0.3701028806247818,0.5103936986088058,0.5433857705897264,0.6626236546219325,1.0,0.5721957880331786,0.3007886877591591,0.3012578743147437,0.34310034203490597,0.2963156047795587,0.34495860057324157,0.4482134370036842,0.4389607667922515,0.4960533551534299
VVIQ - 08,-0.08122454439748684,-0.10725610392165089,-0.05971418784844337,-0.061975794342963325,0.0652559222814,-0.07928380963347924,-0.11102547633067403,-0.07849376924612356,-0.0594661942715104,-0.17457091919587933,0.7531356027119873,0.7531356027119873,0.08419559163713601,0.4652087500615927,0.47398244194013206,0.4218781069651021,0.5423970664296863,0.6683602630666513,0.5733602949129206,0.5721957880331786,1.0,0.45207396328303256,0.4589500802005829,0.5130375634412079,0.47120715216441694,0.4840909710561259,0.5096604336174616,0.4808629644936377,0.5202863482492377
VVIQ - 09,-0.07241318999423184,-0.11215568253346601,-0.040882853622312434,-0.04623136916528503,0.04727629251868191,-0.05314121202574841,-0.0463295922974366,-0.0714765170681607,-0.04528448748461866,-0.25376282766574215,0.7113135248201627,0.7113135248201627,-0.17009182098753695,0.5618314104972771,0.415446178560763,0.4876362730175672,0.39285218239320585,0.4430598174852302,0.44983512079294874,0.3007886877591591,0.45207396328303256,1.0,0.6700667270447799,0.5538680759492731,0.6598313831754058,0.4578727597904333,0.46966714645305147,0.3766542016675423,0.40474005068984464
VVIQ - 10,-0.22709159656996156,-0.25714467771782173,-0.19887404481194187,-0.22355161518239447,0.007107644241674544,-0.01486977938422552,-0.061563561598156596,-0.22653609462400215,-0.22309200583775604,-0.09141094341045614,0.7086821126006169,0.7086821126006169,-0.23501113247466046,0.5451581589745412,0.5795583803682723,0.5005438860069331,0.34606266773171196,0.43219180027013715,0.33472529365496984,0.3012578743147437,0.4589500802005829,0.6700667270447799,1.0,0.5776077570771475,0.6233982407552766,0.43376434537856573,0.42308328336421597,0.4164349918193468,0.40298199734844237
VVIQ - 11,-0.16602946808440178,-0.18158421225890597,-0.1501938299334017,-0.1407085626248663,0.013346254207257545,-0.019792158048933788,-0.0510910259524468,-0.16545033397683295,-0.14010637167675555,-0.18778652974673102,0.734244725345678,0.734244725345678,-0.11580165130277277,0.4476066293597355,0.5462179794610654,0.4629793751527712,0.4003900876125268,0.5315440081819015,0.37071847353416254,0.34310034203490597,0.5130375634412079,0.5538680759492731,0.5776077570771475,1.0,0.5885952072496743,0.5303696817270137,0.5888455481235485,0.46760832442520556,0.47015787181710283
VVIQ - 12,-0.2672133536407061,-0.29306640315075533,-0.2411152675401728,-0.24878321635903342,-0.08267450070800109,0.06575847162269084,-0.1346027512684454,-0.2647912789302297,-0.2465960906328779,-0.15415706892906886,0.6789478533395849,0.6789478533395849,-0.07580863017395328,0.5491423341247227,0.44868912286074125,0.3525356585656812,0.32680722258562644,0.45857884586991776,0.37967947914807537,0.2963156047795587,0.47120715216441694,0.6598313831754058,0.6233982407552766,0.5885952072496743,1.0,0.34832518886886193,0.48647260486352295,0.4237070959355871,0.3354017273284502
VVIQ - 13,-0.15420787865018487,-0.16995112637284915,-0.1385314831526553,-0.14619195329459192,-0.03894971995740577,0.03185293360617707,-0.05648892665723673,-0.15341292818628408,-0.1454799178595884,-0.2384029607547842,0.7454074747389701,0.7454074747389701,-0.24085617375658114,0.43444109741827774,0.5055843384403782,0.5796630476771599,0.5025426672986016,0.546010770967014,0.4144772212398015,0.34495860057324157,0.4840909710561259,0.4578727597904333,0.43376434537856573,0.5303696817270137,0.34832518886886193,1.0,0.6699070403870256,0.6208973379793415,0.6607414334786934
VVIQ - 14,-0.16675540726468627,-0.17905640584040683,-0.15333226453820056,-0.13833474735893989,0.07622749805841812,-0.08119094643040704,-0.03904716084382821,-0.16652272650168373,-0.13802621877594778,-0.20826692186120205,0.7556976859521213,0.7556976859521213,-0.0023807037284666625,0.38551450444942964,0.3654521978535896,0.3829323112359827,0.5022012374966345,0.5521480906280123,0.5212636003990238,0.4482134370036842,0.5096604336174616,0.46966714645305147,0.42308328336421597,0.5888455481235485,0.48647260486352295,0.6699070403870256,1.0,0.7391758008211576,0.6217666226199549
VVIQ - 15,-0.03878214828857898,-0.05206105219624432,-0.027876841433029244,-0.015309223608792397,0.04073707876907682,-0.046087231137099505,-0.04227386288232686,-0.037783749821807225,-0.01431284186123333,-0.18481590333307787,0.7284749123352221,0.7284749123352221,-0.12196742958934083,0.36683897071111216,0.38935615397409107,0.41787248832476775,0.515346187719077,0.5069193811077164,0.508813471110167,0.4389607667922515,0.4808629644936377,0.3766542016675423,0.4164349918193468,0.46760832442520556,0.4237070959355871,0.6208973379793415,0.7391758008211576,1.0,0.6799635017493111
VVIQ - 16,-0.08035748596098484,-0.08481432941096155,-0.07498793497300088,-0.053527576529057395,-0.03309389776670764,0.023860458270391703,-0.07341792453456636,-0.07869202497351051,-0.05192984856371611,-0.187226507928072,0.7250722470196381,0.7250722470196381,-0.2256955262288436,0.40431620075586844,0.42256059213293645,0.5402455998766231,0.4365477705308992,0.44776554469515717,0.4547687959469168,0.4960533551534299,0.5202863482492377,0.40474005068984464,0.40298199734844237,0.47015787181710283,0.3354017273284502,0.6607414334786934,0.6217666226199549,0.6799635017493111,1.0
