,gpt4.1,gpt4.1_images,o3_images,o3,gemini_2.0_flash,gemini_2.0_flash_images
25,1.4642857142857144,1.4166666666666665,4.142857142857142,4.142857142857142,1.4166666666666665,3.666666666666667
26,2.1,2.0833333333333335,3.0,4.666666666666666,2.0833333333333335,1.6666666666666665
27,1.0833333333333335,1.1666666666666665,2.15,1.3333333333333335,1.0,1.1666666666666665
28,4.25,4.25,2.75,4.25,4.25,4.0
29,1.0,1.3333333333333335,1.2,1.25,1.0833333333333335,1.0833333333333335
30,1.3333333333333335,1.5,2.1,1.1428571428571428,1.25,4.6
31,1.6666666666666665,1.6666666666666665,2.9642857142857144,2.9642857142857144,3.166666666666667,2.5
32,1.9642857142857144,1.35,5.0,3.8,1.0,1.5714285714285714
33,1.25,1.25,1.25,1.0833333333333335,2.0,1.0
34,4.0,1.6666666666666667,2.821428571428571,1.75,4.0,1.1
35,2.6666666666666665,2.6666666666666665,1.9,1.9,2.6666666666666665,4.5
36,2.416666666666667,2.416666666666667,3.0,2.416666666666667,1.4166666666666665,3.7
37,1.0,1.3333333333333335,1.0,1.0,1.5,1.1666666666666665
38,4.0,1.0,4.0,2.2,1.5,
39,1.625,1.3333333333333335,1.3333333333333335,2.2,1.5,
40,1.0833333333333335,1.0833333333333335,1.5,4.571428571428571,1.0833333333333335,
41,1.1666666666666665,1.0,5.0,5.0,1.9166666666666667,
42,1.25,1.9166666666666667,4.5,1.9166666666666667,4.5,
43,1.2,1.3333333333333335,1.0,1.9166666666666667,1.25,
44,1.0833333333333335,1.0833333333333335,1.0833333333333335,1.0,1.5,
45,1.0,1.25,1.25,1.25,1.35,
46,1.3333333333333335,1.1666666666666665,1.0,1.25,1.25,
47,1.1666666666666665,1.0,1.1666666666666665,1.0,1.1666666666666665,
48,1.6,1.25,5.0,1.75,1.0833333333333335,
49,4.666666666666666,1.0,4.666666666666666,4.666666666666666,2.05,
50,1.0,1.25,1.0833333333333335,1.0833333333333335,1.0,
51,1.25,1.0,1.0,4.75,1.25,
52,2.2,1.5833333333333333,5.0,4.8,1.0833333333333335,
53,1.0833333333333335,3.583333333333333,1.5,4.916666666666666,1.0833333333333335,
54,1.3333333333333335,1.75,3.5,1.5833333333333335,1.3333333333333335,
55,1.75,1.25,1.75,4.6,1.25,
56,1.0,1.0833333333333335,1.0,1.4166666666666665,1.0,
57,1.6428571428571428,2.1666666666666665,4.416666666666667,4.416666666666667,1.5833333333333335,
58,1.4642857142857144,5.0,4.916666666666666,4.916666666666666,3.0,
59,2.1666666666666665,1.35,3.333333333333333,3.333333333333333,4.583333333333334,
60,5.0,1.4166666666666665,5.0,5.0,1.35,
61,4.75,3.1666666666666665,4.75,4.75,1.25,
62,1.0,1.75,3.5,3.5,1.3333333333333335,
63,1.0,4.083333333333333,3.2,3.75,1.3333333333333335,
64,1.25,2.583333333333333,3.6,2.9,2.0,
65,4.166666666666667,4.166666666666667,3.0,4.083333333333333,1.0,
66,4.083333333333333,3.25,3.125,4.416666666666666,1.25,
67,4.166666666666667,2.25,4.166666666666667,4.166666666666667,1.0,
68,4.1,2.4166666666666665,4.1,4.1,2.3333333333333335,
69,1.2,3.4166666666666665,2.4,4.666666666666666,2.5,
70,1.3,1.0,2.4166666666666665,4.75,1.0,
71,3.5,1.0,1.55,4.916666666666666,1.35,
72,1.35,1.0714285714285714,1.0,5.0,1.25,
73,1.25,4.25,4.833333333333334,4.833333333333334,4.083333333333333,
74,1.0833333333333335,1.45,4.083333333333333,4.083333333333333,4.25,
75,1.0,1.0833333333333335,4.25,4.25,4.9,
76,1.6666666666666665,1.35,1.6666666666666665,4.916666666666666,4.916666666666666,
77,1.25,1.0,1.1666666666666665,4.75,1.375,
78,1.0,1.3333333333333335,1.5,4.0,1.1,
79,1.0,1.25,1.35,1.2,1.5,
80,1.5,3.25,1.85,3.5,2.0833333333333335,
81,1.3333333333333335,2.833333333333333,2.3,1.25,1.0,
82,1.1428571428571428,1.4166666666666665,1.5,1.95,1.75,
83,3.6,1.2857142857142856,4.75,4.75,1.0,
84,1.0,2.0833333333333335,4.285714285714286,1.75,1.0,
85,1.25,1.0833333333333335,4.142857142857142,4.142857142857142,1.0,
86,3.6,4.25,1.125,4.666666666666666,3.416666666666667,
87,1.0833333333333335,1.25,2.1,2.15,4.25,
88,4.333333333333333,1.1,4.2,4.25,1.0,
89,1.25,3.166666666666667,2.666666666666667,1.9166666666666667,1.75,
90,1.3,1.6666666666666665,2.1,1.8,3.166666666666667,
91,4.05,1.6,1.0,3.0,1.3333333333333335,
92,1.25,1.0,1.6666666666666665,5.0,1.4642857142857144,
93,1.5,1.25,2.45,3.25,4.0,
94,1.6666666666666665,2.5,1.75,1.75,1.3333333333333335,
95,1.45,1.2142857142857144,1.9,1.0833333333333335,2.416666666666667,
96,2.375,1.5,3.6,2.666666666666667,1.0833333333333335,
97,2.75,1.0833333333333335,1.0833333333333335,3.75,1.5,
98,1.0,1.4166666666666665,1.75,2.3333333333333335,1.1666666666666665,
99,4.583333333333334,1.0833333333333335,1.0,1.0,1.0,
100,1.0833333333333335,1.25,1.5,4.571428571428571,1.5833333333333335,
101,1.0,1.3333333333333335,1.4166666666666665,5.0,1.25,
102,1.25,1.5,4.5,2.4,2.4,
103,1.45,1.0,1.9166666666666667,1.9166666666666667,1.1,
104,1.0833333333333335,1.0,1.0833333333333335,1.95,1.0,
105,1.0,1.0,1.45,1.0,1.1,
106,2.0,1.85,1.0,1.0,1.0,
107,1.1666666666666665,1.25,1.1666666666666665,1.3333333333333335,1.9166666666666665,
108,1.8333333333333333,1.0,2.25,1.75,4.666666666666666,
109,4.666666666666666,1.25,2.5,4.666666666666666,1.0,
110,1.1,5.0,1.0833333333333335,1.0833333333333335,1.0,
111,1.0,1.0833333333333335,1.1,1.1,1.0,
112,1.9166666666666665,1.85,5.0,4.8,4.916666666666666,
113,4.916666666666666,2.75,1.0,1.5,1.5,
114,4.666666666666666,1.0,1.0,3.5,1.2,
115,4.6,1.25,4.6,4.6,1.1,
116,1.0,3.6,1.0,1.0,2.9166666666666665,
117,3.333333333333333,1.2,1.375,4.416666666666667,2.0,
118,4.916666666666666,,4.916666666666666,4.916666666666666,1.1666666666666665,
119,1.3,,4.0,3.333333333333333,,
120,,,5.0,5.0,,
121,,,4.75,4.75,,
122,,,3.916666666666667,1.55,,
123,,,3.1666666666666665,3.75,,
124,,,3.6,3.6,,
125,,,1.4166666666666665,2.0,,
126,,,3.125,4.083333333333333,,
127,,,4.166666666666667,4.166666666666667,,
128,,,4.1,4.1,,
129,,,4.0,4.666666666666666,,
130,,,4.75,2.4166666666666665,,
131,,,3.5,4.714285714285714,,
132,,,5.0,1.0833333333333335,,
133,,,4.833333333333334,4.833333333333334,,
134,,,4.083333333333333,4.083333333333333,,
135,,,4.25,4.25,,
136,,,1.6,4.9,,
137,,,2.25,4.916666666666666,,
138,,,1.25,1.7857142857142856,,
139,,,1.2,1.0,,
140,,,3.0,3.5,,
141,,,2.3,3.1666666666666665,,
142,,,1.75,2.6666666666666665,,
143,,,3.0357142857142856,3.0357142857142856,,
144,,,1.4166666666666665,4.285714285714286,,
145,,,4.142857142857142,4.142857142857142,,
146,,,4.666666666666666,3.625,,
147,,,4.4,1.3333333333333335,,
148,,,4.25,2.083333333333333,,
149,,,2.666666666666667,2.666666666666667,,
150,,,2.1,1.8333333333333333,,
151,,,2.9642857142857144,3.166666666666667,,
152,,,1.0,5.0,,
153,,,1.25,1.4642857142857144,,
154,,,1.75,3.916666666666667,,
155,,,1.9,4.0,,
156,,,3.0,3.6,,
157,,,4.083333333333333,3.821428571428571,,
158,,,1.9166666666666665,2.0833333333333335,,
159,,,1.0,2.1,,
160,,,1.5,4.571428571428571,,
161,,,1.0833333333333335,5.0,,
162,,,4.5,3.083333333333333,,
163,,,1.6,2.916666666666667,,
164,,,1.0,1.75,,
165,,,1.0,1.2,,
166,,,1.1,1.25,,
167,,,1.0833333333333335,1.25,,
168,,,5.0,2.583333333333333,,
169,,,2.5,1.1666666666666665,,
170,,,1.0833333333333335,1.0833333333333335,,
171,,,1.0,1.1,,
172,,,4.8,1.25,,
173,,,4.916666666666666,4.916666666666666,,
174,,,4.666666666666666,2.583333333333333,,
175,,,4.6,4.6,,
176,,,1.3,4.833333333333334,,
177,,,1.375,3.333333333333333,,
178,,,4.916666666666666,4.916666666666666,,
179,,,4.0,4.25,,
180,,,5.0,,,
181,,,4.75,,,
182,,,1.0833333333333335,,,
183,,,3.2,,,
184,,,3.416666666666667,,,
185,,,3.0,,,
186,,,3.75,,,
187,,,4.166666666666667,,,
188,,,4.1,,,
189,,,4.833333333333334,,,
190,,,4.75,,,
191,,,4.916666666666666,,,
192,,,5.0,,,
193,,,4.833333333333334,,,
194,,,4.083333333333333,,,
195,,,4.25,,,
196,,,3.5,,,
197,,,1.1666666666666665,,,
198,,,4.0,,,
199,,,1.35,,,
200,,,2.75,,,
201,,,1.25,,,
202,,,1.75,,,
203,,,4.75,,,
204,,,4.285714285714286,,,
205,,,1.25,,,
206,,,4.666666666666666,,,
207,,,1.0,,,
208,,,4.25,,,
209,,,1.1,,,
210,,,2.1,,,
211,,,1.3333333333333335,,,
212,,,5.0,,,
213,,,1.25,,,
214,,,1.75,,,
215,,,2.6666666666666665,,,
216,,,3.0,,,
217,,,1.4166666666666665,,,
218,,,1.75,,,
219,,,1.0,,,
220,,,1.6,,,
221,,,5.0,,,
222,,,1.9166666666666667,,,
223,,,1.6,,,
224,,,1.0833333333333335,,,
225,,,4.833333333333334,,,
226,,,1.0,,,
227,,,1.25,,,
228,,,4.875,,,
229,,,1.1,,,
230,,,1.0833333333333335,,,
231,,,1.0,,,
232,,,4.8,,,
233,,,1.0833333333333335,,,
234,,,1.6,,,
235,,,3.333333333333333,,,
236,,,1.0,,,
237,,,1.375,,,
238,,,4.916666666666666,,,
239,,,1.1666666666666665,,,
