ResponseId,consent,Q1,Q2,Q4,Q6,b1_q1_iron bars,b1_q2_ladder section,b1_q3_scaffolding tower,b2_q4_roman numeral,b3_q5_scale hourglass,b3_q6_eyeglasses bridge,b4_q7_hourglass,b4_q8_parentheses,b4_q9_bow tie,b5_q10_greek beta,b5_q11_handshake,b6_q12_spectacles frame,b6_q13_round glasses,b6_q14_horse blinders,b6_q15_sunglasses,b6_q16_infinity antenna,b7_q17_bow tie,b7_q18_arrowhead,b7_q19_h,b7_q20_double‑headed arrow,b8_q21_binder clip,b8_q22_scarab beetle,b8_q23_chain link,b8_q24_crown hourglass,b8_q25_spectacle frame,b9_q26_stone archway,b9_q27_rabbit,b9_q28_hourglass seal,b9_q29_crown symbol,b10_q30_eject button,b10_q31_candle holder,b11_q32_keyhole slot,b11_q33_trident fork,b11_q34_power plug,b12_q35_hot air balloon,b12_q36_martini glass,b12_q37_serif y,b12_q38_fishing hook,b12_q39_flagpole,b13_q40_watering can,b14_q41_anchor,b14_q42_fish hook,b14_q43_scoop handle,b15_q44_hourglass,b15_q45_pencil tip,b15_q46_diamond shape,b16_q47_stone arch,b16_q48_tent shelter,b17_q49_snake tongue,b17_q50_fishing hook,b17_q51_teardrop,b18_q52_bow tie,b18_q53_bluetooth logo,b18_q54_arrowhead,b19_q55_violin scroll,b19_q56_fish,b19_q57_light bulb,b19_q58_electric plug,b19_q59_spacer bar,b19_q60_safety pin,b19_q61_compact disc,b20_q62_stop sign,b20_q63_chess pawn,b20_q64_goblet stand,b21_q65_key,b21_q66_chess pawn,b21_q67_skeleton key,b21_q68_golf club,b21_q69_paperclip,b22_q70_hourglass,b22_q71_letter a,b22_q72_subset symbol,b23_q73_snake vase,b23_q74_world pillar,b24_q75_water tap,b24_q76_fishing hook,b24_q77_enter key,b25_q78_paint roller,b25_q79_l bracket,b25_q80_greek gamma,b26_q81_diamond,b26_q82_javelin,b26_q83_plumb line,b26_q84_arrow shaft,b27_q85_mail slot,b27_q86_open frame,b27_q87_stapler frame,b28_q88_spectacle temples,b28_q89_bed,b28_q90_male symbol,b29_q91_key,b29_q92_sailboat,b29_q93_tie fighter,b29_q94_turnstile gate,b29_q95_b,b29_q96_bridge,b30_q97_door jamb,b30_q98_beer mug,b30_q99_belt buckle,b30_q100_capital b,b30_q101_capital r,b30_q102_gate,b31_q103_hourglass,b31_q104_lollipop stick,b31_q105_ice cream,b32_q106_skeleton key,b32_q107_teeter totter,b32_q108_hanging lantern,b33_q109_bumper car,b33_q110_spoon cup,b33_q111_golf tee,b33_q112_teacup,b34_q113_hourglass infinity,b34_q114_bicycle,b34_q115_open scissors,b34_q116_quantum anchor,b34_q117_phi symbol,b34_q118_double keyhole,b35_q119_anvil,b35_q120_twin crown,b36_q121_harpoon,b37_q122_street lamp,b37_q123_scissors closed,b37_q124_pendulum bob,b38_q125_stacking toy,b38_q126_crown jewel,b38_q127_flower emblem,b39_q128_hot-air balloon,b39_q129_angel,b39_q130_grounded infinity,b39_q131_infinity frame,b40_q132_door window,b40_q133_capital b,b40_q134_hook gate,b40_q135_mail box,b41_q136_door handle,b41_q137_stapler head,b41_q138_keyhole,b42_q139_plus sign,b42_q140_windowpane,b42_q141_h-beam,b42_q142_letter glyph,b43_q143_curled ribbon,b43_q144_apple,b43_q145_swing hook,b43_q146_target satellite,b43_q147_greek phi,b44_q148_keyhole,b44_q149_cartoon bomb,b44_q150_golden doubloon,b44_q151_ps ligature,b45_q152_lollipop,b45_q153_lexus logo,b45_q154_clock face,b45_q155_analog clock,b45_q156_floating lid,b45_q157_life buoy,b45_q158_doughnut stand,b46_q159_dual torus,b46_q160_ionic capital,b46_q161_mailbox,b46_q162_ionic column,b46_q163_shattered pact,b46_q164_arrowhead,b46_q165_winged arch,b47_q166_cartoon bomb,b47_q167_capital b,b47_q168_key lock,b48_q169_t,b48_q170_sledgehammer,b48_q171_crosshairs,b48_q172_t shape,b49_q173_rocket ship,b49_q174_steep curve,b49_q175_flying buttress,b49_q176_candelabrum,b50_q177_balloon man,b50_q178_drain cover,b50_q179_sprouting seed,b50_q180_lamp post,b51_q181_circle cradle,b51_q182_compass dial,b52_q183_parking meter,b52_q184_electric plug,b53_q185_cradle snapped,b53_q186_cave entrance,b53_q187_flag pole,b54_q188_sixteenth note,b54_q189_anchor symbol,b55_q190_radiation symbol,b55_q191_perpendicular arrow,b56_q192_drawer pull,b56_q193_roof gable,b56_q194_circular pointer,b56_q195_keyhole,b57_q196_ski jump,b57_q197_capped diamond,b57_q198_rotated x,b58_q199_key,b58_q200_grapnel anchor,b58_q201_hanger,b59_q202_ground rod,b59_q203_tent pole,b59_q204_shelf bracket,b60_q205_arrowhead,b60_q206_square pyramid,b60_q207_tiny house,b60_q208_house roof
R_3p3kIiVB6XvZJzQ,Accept,67ab7ed4c126306d2899115a,A lot,Completely,Not at all,,,,,,,,,Not at all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not at all,,,,Completely,,,,Not at all,,,,Not at all,,,,,,,,,,,,,A lot,,,,,,Not at all,,A little,Not at all,,,,,,,,,,,,,,,,,,Not at all,,,,,,,,,,Not at all,,,,,,A little,,,,Not at all,,,,Not at all,,,,,,,,,,,,Not at all,Not at all,Not at all,,,,,,,Not at all,,,Not at all,,,,,,,,,,,,,,,,,,,,,A little,,,,Not at all,,,,,Not at all,,,,,,,Not at all,,,,,,,,,,Completely,,,,,,,Not at all,Not at all,,,Not at all,,A little,,,,A little,Not at all,,
R_7HXQ0bYrHkjkbzc,Accept,627ebc31883c7dd7c2220c7e,Completely,Moderately,A little,,,,,,,Not at all,,,,,,,,,,Not at all,,,,,,,,,,,,,Not at all,,,,,Not at all,,,,,,,,,,,,,Not at all,,,,Not at all,,,,Not at all,Not at all,,,,,,Moderately,,,,,,,Not at all,,,,,,Not at all,Not at all,,Not at all,,,,,,,,Not at all,,,,,,,,Not at all,,,,,,,,,,,,,Not at all,,Moderately,,,,Not at all,Moderately,,,,,Not at all,,,,,Not at all,,,,,,,,,,,,,,,,,,,,,,,,,,,A little,,,,Not at all,,,,,,,,Not at all,,,,Not at all,,,,,,Not at all,,,,,,Not at all,,Not at all,,,,,,,,,,,,Moderately,,,,,,,,Not at all,,,,,,
R_6mqHYKgSFikkhC3,Accept,6757069f8e2b810b4fabd66b,A lot,Moderately,Not at all,,,,Not at all,Not at all,Not at all,,,,,,,,A little,,Not at all,,,,,,,,Not at all,Not at all,,,,,,,Not at all,,,,,,,,,,,,,Completely,Not at all,,,,,,Not at all,,A little,,,,,,,,Not at all,,,,,,,Not at all,,,,,Not at all,,,,,,,Not at all,,,,,,,,,,,,,,,,,,,,Not at all,,,,Not at all,,Not at all,,,,,,,,,,,,Not at all,,,,Not at all,,,,,,,,Not at all,,,,,,,,,,,,,,,Not at all,,,,,,,Not at all,,,,,Not at all,,,,,,,Not at all,,,,,,,,,Not at all,,,,,,,,,,A little,,,,,,,Not at all,,,,,,,Not at all,,,,,,,,,,
R_7I4TvFm1XuLG4Wg,Accept,671182e627376ae4714d3594,A lot,A lot,Not at all,,,,,,,,,,,,,,,,Moderately,,,,,Not at all,,,,Not at all,,,,,,,,,,,,,,,,,Not at all,,,,Not at all,,,,,,,,,,,Not at all,,,Not at all,,,,,Not at all,,,,,,,,Not at all,,,,,Not at all,,,,Not at all,,,,,,,,,Not at all,Not at all,,,,,,,Not at all,,,,,,Not at all,,,,,,,,,,,,,,,,,,,,,Not at all,,A little,,,,,,Not at all,Not at all,,Not at all,,,,,,,,,,Not at all,,A little,,,,,,A lot,,,,,,,,,,,,,,Completely,,,,,,,,,,,,Not at all,,,,Not at all,,,Not at all,,,Not at all,,,,,,,,,,,,A little,,,,A little,
R_7Rr6lMaVmcFbu9U,Accept,65f6e1abe3931d0da1de33dd,A lot,Completely,Not at all,,Completely,,,,Not at all,,,,Moderately,,,Moderately,Not at all,Moderately,,,,,Completely,,A little,,,,Not at all,,,,,,,,,,Completely,,,Not at all,Not at all,,,Not at all,Not at all,,,,,,,Not at all,,,,Not at all,,,,,,,,,,,,,,,,,,,,,,,,,,Not at all,,Not at all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not at all,,Not at all,,,,,,,,,,,,,,,,,,Not at all,,,,,,,A little,,Not at all,,,,,,,,Not at all,,,,,,Not at all,,Not at all,,,,,,,,,,,,Not at all,,,,,,Not at all,,,,,,,,,,,,,,Not at all,,,,,A little,,,,,,,,,,
R_1c0Jc0RGmg5SFZ7,Accept,5cfd7167adab2f0016d1571f,Completely,Completely,Not at all,,,,,,,,Not at all,,,,Completely,A lot,,,,Not at all,,,,Not at all,,,,,,,,,,,,,,,,,,,A little,,,,,,,Not at all,,,,,,,,,Not at all,,A little,,Not at all,,,,,,,,,,,,,A little,,Not at all,,A little,,,Not at all,,,,,,,,,,,,,,,,,,,,Not at all,,,,,,,,,,,,Not at all,A little,A little,,,Not at all,,,,,,,,,,,,,,,,,,,,,Not at all,,,,,,A little,,,,,,,,,,Completely,,Not at all,,,,,,,,,,,,A little,,,,,,,,Not at all,,,Not at all,,Not at all,,,,,,,,,Not at all,,,,,,,Not at all,,,,,,,Not at all,,,,
R_1EgwNd6xmxCCPFv,Accept,66aa52de62c06e01a958d91c,Completely,A little,Not at all,Moderately,,,,,,,,,,,,,,A lot,,,,,,,,,,,,,A little,,,A little,,,,,,,,Not at all,,,,Not at all,,A lot,,,,,,,,Not at all,,,,,,,,,,,,,,,,,,,A lot,,,,,,,,,,Not at all,,Moderately,Not at all,,Not at all,,,,,,,,,Not at all,,,,,,,,,Not at all,,,,,,A little,,,,,A little,,,,Not at all,,,,Not at all,,,,,,,,,Not at all,,,,,,,,,,,,,A little,,,,,,,,,,,Moderately,,,,,,,Not at all,,A little,,,,,,,,Not at all,,,,,,,,,,,,,,,,,,,,,,Not at all,,,,A lot,,,,,,A little,Completely,A little
R_6Eq6H5PIrt7x73P,Accept,673feeafa80a279f5cc63e33,Completely,A lot,Not at all,,,,,,,,,Not at all,A little,A little,,,,,,,,,Not at all,,,A little,,,,,,,,,,,,,,,,,,,Not at all,,,,,,Not at all,,,A little,,,,,,,,Not at all,,,,,,,,Not at all,,,,,,,,,,,,,,,,,,,Not at all,,Moderately,,,A little,,,,Not at all,,,Not at all,,,,,,,,,,,A little,Not at all,,,,,,,,Not at all,,,,,,,Moderately,A little,,Not at all,,,,,,,,Not at all,,,Moderately,,,Not at all,,,,,Not at all,,,,,,,,,,,,,,,,Not at all,,,,,,,,Not at all,,,,,,Not at all,,,,,,,,Not at all,,,,,,,Not at all,,,,,,,,,,,,,,,,
R_3TcUXhhC1ucmYtb,Accept,628f572a2d1304a34b9e1a37,A lot,Moderately,A little,,,,,,,,,,,,,,,,,,,,,,A little,,,,,Not at all,,Not at all,,,,,,Not at all,Completely,Not at all,,,,Not at all,,,,,,,,,Not at all,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not at all,Not at all,,,,Not at all,,,,,,,,,,,,,,Not at all,,Not at all,,,,Not at all,,,,,,,,,,,,,,,,,,Not at all,,,,,,,,,Not at all,,Not at all,,,,,,,,,,,,,,,,,Moderately,Not at all,,,,,,,,,,A little,,Not at all,,,,,Not at all,,Completely,,,Completely,,,,,,,,,,Not at all,,,,Not at all,,,Not at all,,,,,,,,,,A little,,A little,,,,A little,,,
R_3DSQrAlYkFzObwB,Accept,67bf8696b3b7e7a95c9cd9bf,Moderately,Completely,Not at all,,,,,,,Not at all,,,,,,,,,,,A little,,,,,,,,,,,,Not at all,,,A lot,,,,,,,,,,,Not at all,,,,,,,,,,,Not at all,,,,,,Not at all,,,Not at all,,Completely,,Not at all,,Not at all,,,,,,,,,,,,,,,,,,,Not at all,,,,A little,,,,,,,,,A little,,,,Not at all,,Not at all,,,,,,,,,,,,,,Not at all,,,,,,,Not at all,,,,,,,,Not at all,,,Completely,A little,,A little,,,,,,,,,Not at all,,,,,,,,,Not at all,,,,,,,,,,,,Not at all,,A little,,,,,Not at all,,,,,,,Not at all,,,,,,A little,Moderately,,,,,,,,,,,,,,
R_3mEPpbO6bFqaENz,Accept,6568b0b4e9cc3024c09286f9,Moderately,Completely,A little,,Completely,A little,,,,,,,,,,,,,,,,Not at all,,,,,,,Not at all,,,,,,,,A little,,,,Not at all,,,,,,,,,,,Not at all,,,,,,,,,,,,,,Not at all,,,,,,,,Not at all,,,,,Not at all,,,,,,,,,,,,,,Not at all,,Not at all,,A little,,,,,,,,,,Not at all,,,,,,,,,,,Moderately,,,,,,,,,,,,Moderately,,,,,Not at all,,Not at all,A little,,,,,,,,,,Not at all,,,Not at all,,,Not at all,,,,,,Not at all,,Not at all,,,,,,,,,,,Not at all,,,,,,,,Not at all,,,,,Not at all,,,,,,,,,,,,A little,,,,,,,Not at all,Not at all,,,,,
R_7TnMGVlmYSJAIdj,Accept,63d1c79ff86ec609af6f77ad,Moderately,A lot,Moderately,,,,,,,Not at all,,,,,,,,,,Not at all,,,,,,Not at all,,,,,,,,,Not at all,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not at all,,,,,,,,,,,,,Not at all,,,,,,,Not at all,,,,,,A little,,Moderately,,,,A lot,,,,,,,,Not at all,,,,,,,Not at all,,,A little,,,A little,,,,,,,,,,Not at all,A little,,A little,,,,Not at all,,,,,A little,Not at all,Not at all,,,A lot,,,,,,,,,Not at all,,,,,,,,,,,,,Not at all,,,,,,,,,,,,,Not at all,,,,Not at all,,A little,,,,,,,,Not at all,,,,,,Not at all,,,,,,A little,,,,,,,
R_3V73IyT0ZoRpCdb,Accept,60eb539fffbb8e2bafc050cc,Completely,A lot,Not at all,,,,,A little,,,,,,A little,,,,,,,,,,A little,,,Moderately,,,,A little,,,,,,,,,,,,Not at all,,,Not at all,,,,,,,,A little,,A little,,,A little,,,,,,,,Moderately,,,,,,,,Not at all,,,,,,,,,,,,Not at all,,,A little,,,,,,,,,,,Not at all,,,Not at all,,,,,Moderately,,,,,,,,A little,,,,,,,,A little,,,,,,,,,,,,,,,,,Not at all,,,,,,,,,,,Not at all,,,,,A lot,,,,,,,,Not at all,,,,,,Completely,,,Completely,,,,,,Not at all,,,,,,A little,,,,,,,,,Not at all,,,,,,,,,,A lot,A little,,,,
R_7g6CmmeRdBlV3FC,Accept,566a17d07da0350012b3e876,Moderately,A little,A little,,,A lot,Not at all,,A little,,,,,,A lot,A lot,,,,,,Not at all,,,,,,Not at all,,,,,,,,,,,,,,,,Not at all,,,Not at all,,,,,Moderately,,,Not at all,,,,,,,,,,,,,A little,,,,,,,,,,Not at all,Not at all,,A little,,,,,,,,,,,,,,,,Moderately,,A little,,,,,,,Not at all,,,,,Not at all,,,,,,,,,,,,,,,,,,,,,Not at all,,,,Not at all,Not at all,,,,,,,,,,A little,,,,,,,,,Not at all,,,,,,,,,,,,A little,A little,,,,,,,,,,,,,,,,Not at all,,,,,,,,,,,,,,,A little,,A little,,,Moderately,,,,,,
R_6jjt7hJJlf6kd9N,Accept,669a8660d4a57296b3d666e1,A lot,A little,Not at all,,,,,,,,Not at all,,Moderately,,,,,,Moderately,,,,,,,,,,Not at all,,,A little,Not at all,A lot,,,,,,Not at all,,Not at all,,,A little,,,,,,,,Not at all,,,,,,,,,,,,,,,,A lot,A little,Not at all,,,Not at all,,,,,,,,,,,,,,,,,,,,,,,,Not at all,,,,A little,,,,,Moderately,,,,,A little,,A little,Not at all,,,A lot,,Moderately,,,A little,A little,,,,,,,,,,,,,,,,,A little,,,Moderately,,,,,,,,,,,,,,,,,,,,A little,,,,,,,,,,,,,,,,Not at all,,,,,,,,,,,,,,,,,A little,,,,,,,,,,,,,,
