ResponseId,001 - Response,002 - Response,003 - Response,004 - Response,005 - Response,006 - Response,007 - Response,008 - Response,009 - Response,010 - Response,011 - Response,012 - Response,013 - Response,014 - Response,015 - Response,016 - Response,017 - Response,018 - Response,019 - Response,020 - Response,021 - Response,022 - Response,023 - Response,024 - Response,025 - Response,026 - Response,027 - Response,028 - Response,029 - Response,030 - Response,031 - Response,032 - Response,033 - Response,034 - Response,035 - Response,036 - Response,037 - Response,038 - Response,039 - Response,040 - Response,041 - Response,042 - Response,043 - Response,044 - Response,045 - Response,046 - Response,047 - Response,048 - Response,049 - Response,050 - Response,051 - Response,052 - Response,053 - Response,054 - Response,055 - Response,056 - Response,057 - Response,058 - Response,059 - Response,060 - Response,VVIQ - 01,VVIQ - 02,VVIQ - 03,VVIQ - 04,VVIQ - 05,VVIQ - 06,VVIQ - 07,VVIQ - 08,VVIQ - 09,VVIQ - 10,VVIQ - 11,VVIQ - 12,VVIQ - 13,VVIQ - 14,VVIQ - 15,VVIQ - 16
R_7iswQke6K35dZLP,ladder,,,glasses,butterfly,glasses,,,,,,,,,,,,,,,no idea,,,,,,,glasses,,,,Fraction Symbol,,bow,,triangle,,Ice cream ,flower,,gift box,,,small kite,,,,,,,,,,,martini glass,,,,,house,3. Moderately clear and vivid,2. Vague and dim,4. Clear and reasonably vivid,4. Clear and reasonably vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,2. Vague and dim,3. Moderately clear and vivid,4. Clear and reasonably vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,2. Vague and dim,3. Moderately clear and vivid,3. Moderately clear and vivid
R_6g0EFev6t4FKlcE,,,Glasses ,,,,,,,,,,,,,,,,,Boat ,Boat ,,,Letter H,,Cone,,Glasses ,,,Flower,Hammer,,,,,,,,,,,,,Balloon,,,,Bird Beak ,,TV,Sword ,Key,,Tulip ,,,,,House,4. Clear and reasonably vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,5. Perfectly clear and as vivid as normal vision,4. Clear and reasonably vivid,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,3. Moderately clear and vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,2. Vague and dim,4. Clear and reasonably vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid
R_5mBwuHcjIHstC01,,,cup,,,,,,,,,,,,,sno-cone,,,,,,Audio Symbol,Stop sign,Baketball hoop,,,,,,,,,lamp,,,,Hammer,Ice cream,,mug,,,,,,,,tent,Heart,electric tower,TV,,,Basketball hoop,,,,,,House,2. Vague and dim,4. Clear and reasonably vivid,2. Vague and dim,4. Clear and reasonably vivid,3. Moderately clear and vivid,4. Clear and reasonably vivid,3. Moderately clear and vivid,2. Vague and dim,3. Moderately clear and vivid,4. Clear and reasonably vivid,3. Moderately clear and vivid,2. Vague and dim,3. Moderately clear and vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,3. Moderately clear and vivid
R_7sEXibfidLgmOWd,,,,,,,,,,,,,cant figure,,house,ice cream,,No clue,,,,,,,,,door,,shovel,no idea,,,,,,,snow man,,balloons,running p?,,,,,,,no clue,letter T,,stick figure,,,boat,,,,,,,house,3. Moderately clear and vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,2. Vague and dim,3. Moderately clear and vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,3. Moderately clear and vivid
R_7Y5oIYgYMSPPwIa,,,,cherries ,,,,,,,,,,,,,,icecream cone,not sure,,,fish,,,,,book,,stool,fish,speaker,,,,,,clover,,,,,,weather vane,fan,,,,tee,,,plant,,sailboat ,,,,,,,house,5. Perfectly clear and as vivid as normal vision,4. Clear and reasonably vivid,4. Clear and reasonably vivid,2. Vague and dim,4. Clear and reasonably vivid,3. Moderately clear and vivid,4. Clear and reasonably vivid,3. Moderately clear and vivid,4. Clear and reasonably vivid,3. Moderately clear and vivid,4. Clear and reasonably vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,2. Vague and dim,3. Moderately clear and vivid
R_3Jd1uTp9gkuwtOx,,,,,,,,,,,,,,,,,Paris,Shape ,,Bun,,,,,,,Square ,,House ,,,,Stake ,,,,,,,,Point ,,,,Clock ,,,,,,Square ,Cross ,,concave,,Pie chart,Hourglass ,,Angle ,House ,2. Vague and dim,3. Moderately clear and vivid,2. Vague and dim,2. Vague and dim,3. Moderately clear and vivid,4. Clear and reasonably vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,2. Vague and dim,3. Moderately clear and vivid
R_1NOosR37pJud2UA,,,,,,,spear,,,,,,,nothing,hut,ice cream,,icecream cone,,,,,traffic stop ,,number 7,letter P,,,,,,,pan cover,,,,,,,,,window,,,,face,nothing ,,,,,,,,,,hourglass,,ship sail,hut,4. Clear and reasonably vivid,4. Clear and reasonably vivid,2. Vague and dim,4. Clear and reasonably vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,5. Perfectly clear and as vivid as normal vision,4. Clear and reasonably vivid,3. Moderately clear and vivid,2. Vague and dim,3. Moderately clear and vivid,2. Vague and dim,3. Moderately clear and vivid,4. Clear and reasonably vivid,5. Perfectly clear and as vivid as normal vision,4. Clear and reasonably vivid
R_16SaFYG3hG62QF3,,,,,letter D,,,,,,Rake,Umbrella,Mushroom,,,,,face,,Ant,,,,Chair,Letter C,Flag,,Glasses,,,,,,Face,,,,,,,,,cat,,,,,,,,Robot,,,Ant,,,,,,Hut,3. Moderately clear and vivid,4. Clear and reasonably vivid,2. Vague and dim,5. Perfectly clear and as vivid as normal vision,3. Moderately clear and vivid,3. Moderately clear and vivid,5. Perfectly clear and as vivid as normal vision,4. Clear and reasonably vivid,2. Vague and dim,3. Moderately clear and vivid,4. Clear and reasonably vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,4. Clear and reasonably vivid,3. Moderately clear and vivid,2. Vague and dim
R_5Phftz7eKxQRBg1,ladder,,,glasses,,,,flower,,,,,martini glass,,house,,,,,,,,,,,,belt buckle,glasses,,,stick figure,martini glass,,,,,,,,point right,marker for going right,,,keychain,,,keychain,,,,,,,,,clock,,,,party hat,4. Clear and reasonably vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,2. Vague and dim,3. Moderately clear and vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,3. Moderately clear and vivid,4. Clear and reasonably vivid,3. Moderately clear and vivid,2. Vague and dim,3. Moderately clear and vivid,3. Moderately clear and vivid
R_53qZezuj1Aowmel,ladder,comb ,,bra,,,,,,,,,,horseshoe,,,,music symbol ,music note,magnifying glass,,,,letter H ,,arrow,letter W,,,,,,,,tree,,,,,,road,,,,,,,,,,,star,,,,sign,,,,roof,4. Clear and reasonably vivid,3. Moderately clear and vivid,2. Vague and dim,4. Clear and reasonably vivid,3. Moderately clear and vivid,4. Clear and reasonably vivid,5. Perfectly clear and as vivid as normal vision,2. Vague and dim,2. Vague and dim,2. Vague and dim,3. Moderately clear and vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,4. Clear and reasonably vivid,3. Moderately clear and vivid,2. Vague and dim
R_5hxwR1AIkCiK5YQ,,hash,,eyeglasses,,eyeglasses,,,,,harmer,circle,,,,,Spade,Catapult,,,,,,,,,,,,,,,,,beak,,,,,,,,spoon,,,,,I dont know,,,,Hammer,spade,,,,not equal,Umbrella,,television,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision
R_7jrDLd1FIMqRkxj,,,,ant,,,,,butterfly,,,,,,trapezium,,,,,,,,dollar sign,,,,X,,,,,,,,scissors,,,Ice cream ,bucket,,cup,,,OVAL,,,,,love,,TV,,,music clef,,,,umbrella,,trapezium,4. Clear and reasonably vivid,4. Clear and reasonably vivid,2. Vague and dim,5. Perfectly clear and as vivid as normal vision,4. Clear and reasonably vivid,5. Perfectly clear and as vivid as normal vision,2. Vague and dim,4. Clear and reasonably vivid,4. Clear and reasonably vivid,2. Vague and dim,5. Perfectly clear and as vivid as normal vision,4. Clear and reasonably vivid,4. Clear and reasonably vivid,5. Perfectly clear and as vivid as normal vision,4. Clear and reasonably vivid,2. Vague and dim
R_5fIoIo9ELuQ1U1M,,,,,,,,,Butterfly,,,,Half circle,,,cube,,Pie,Sphere,,,,,Straight line,,,,eyeglasses,,,Circle,,,,berry,,,,Ice cream,,,,,,Clock,,,,Love,Doll,,,,,,,,Radius,,Trapezium ,5. Perfectly clear and as vivid as normal vision,2. Vague and dim,"1. No image at all, you only 'know' that you are thinking of the object",2. Vague and dim,4. Clear and reasonably vivid,3. Moderately clear and vivid,2. Vague and dim,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,4. Clear and reasonably vivid,3. Moderately clear and vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,3. Moderately clear and vivid,"1. No image at all, you only 'know' that you are thinking of the object",2. Vague and dim
R_35MZhXTsEy0Q8Ct,ladder,,,glasses,bra,glasses,,,,,,,,,,,,,,,person,,,,,,,glasses,,,,scarecrow,,glasses on nose,,arrow,,ice cream scoops on a cone,ice cream scoops in a cone,,turtle,,,ladybug,,,,,,,,,,,coat rack,,,,,tv,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,4. Clear and reasonably vivid,5. Perfectly clear and as vivid as normal vision,4. Clear and reasonably vivid,"1. No image at all, you only 'know' that you are thinking of the object",2. Vague and dim,4. Clear and reasonably vivid,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,3. Moderately clear and vivid,4. Clear and reasonably vivid,3. Moderately clear and vivid,"1. No image at all, you only 'know' that you are thinking of the object"
R_6P7TbV4CF3UQq2I,,,,,,Circle ,,,,,,House,sign,,House,,,,,,,Boat,,,,,Box,plus sign,,,Arrow,,,man,,,Na,,,,,,Swing,,,,Crosshair,,,,,Cross,Boat,,,,,,,Tv,4. Clear and reasonably vivid,3. Moderately clear and vivid,2. Vague and dim,3. Moderately clear and vivid,2. Vague and dim,2. Vague and dim,2. Vague and dim,"1. No image at all, you only 'know' that you are thinking of the object",3. Moderately clear and vivid,3. Moderately clear and vivid,2. Vague and dim,3. Moderately clear and vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,4. Clear and reasonably vivid,2. Vague and dim
R_5IME3bnJF5C8vPK,ladder,,,,,,,,,kanji,,,,car,,,,,oval,,,rectangle,circle,,,,,,,,,,bell,,face,triangle,,,,,,square,,,,,,,,,,letter F,,key,,diagram,,umbrella,arrow,,2. Vague and dim,3. Moderately clear and vivid,"1. No image at all, you only 'know' that you are thinking of the object","1. No image at all, you only 'know' that you are thinking of the object",2. Vague and dim,"1. No image at all, you only 'know' that you are thinking of the object","1. No image at all, you only 'know' that you are thinking of the object",2. Vague and dim,2. Vague and dim,"1. No image at all, you only 'know' that you are thinking of the object",2. Vague and dim,"1. No image at all, you only 'know' that you are thinking of the object","1. No image at all, you only 'know' that you are thinking of the object","1. No image at all, you only 'know' that you are thinking of the object","1. No image at all, you only 'know' that you are thinking of the object","1. No image at all, you only 'know' that you are thinking of the object"
R_7D6TWTVSx8Nbnl3,,NOT SURE,,GLASSES,GLASSES,,,,BUTTERFLY,FORK,,,,,,,,,,PERSON,,,FLOWER,,,,,,,,PERSON,,SHOVEL,BOW,,,,,Ice cream ,,,,,,,,,,,,RADIO,,number 6,,,,hourglass,,ARROW,,4. Clear and reasonably vivid,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,4. Clear and reasonably vivid,5. Perfectly clear and as vivid as normal vision,4. Clear and reasonably vivid
R_3zpB5H3IbG7VP2T,,,,hummer,,,,,,Rake,two squares,,,,,,parachute,,,Vessel,,,Kite,Letter H,bed,,,,,,,,,,,roof shape,,fruit basket,,pouch,chair,,,,,,,,,,,,,g clef,,,Rectangle with four triangles inside ,,arrow,,5. Perfectly clear and as vivid as normal vision,4. Clear and reasonably vivid,4. Clear and reasonably vivid,3. Moderately clear and vivid,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,3. Moderately clear and vivid,2. Vague and dim,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,4. Clear and reasonably vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,3. Moderately clear and vivid
R_7urH6KcIAcTkWCB,ladder,,,,,,,butterfly,,,,,church,,,,,,,woman,person,,Lollipop,,,flag,,,,,,,spade,scissors,,,,Flower,,,,,,,,,mountain,,mountain,,,,,,wine glass,clock,,,Arrow,,4. Clear and reasonably vivid,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,4. Clear and reasonably vivid,5. Perfectly clear and as vivid as normal vision,4. Clear and reasonably vivid,4. Clear and reasonably vivid,5. Perfectly clear and as vivid as normal vision,4. Clear and reasonably vivid,4. Clear and reasonably vivid,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,4. Clear and reasonably vivid,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,3. Moderately clear and vivid
R_1mczKBtg2GsAMRr,Train track,,,,,,,,ant ,,,cup,,,,,,,,,,,,,chair,triangle,,glasses,,,,penis,shovel,,face,,balloons,,,,,,,,Clock,,Mouse,,,,tv,,,,,eyeball,,,Arrow,,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision
R_3VJvcRXM4mhNG0x,,,,,,,tree,,butterfly,,,,wine glass,,,,,,,,head and shoulders,,,,chair,,,eyeglasses,,,,,,,,chickenfoot,3 leaf clover,,,,,window,,,clock,lightbulb,,,heart,stickfigure person,,,,music note,,,,,beach umbrella,,4. Clear and reasonably vivid,4. Clear and reasonably vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,4. Clear and reasonably vivid,3. Moderately clear and vivid,2. Vague and dim,2. Vague and dim,2. Vague and dim,4. Clear and reasonably vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid
R_5iOMXXK1u9zcmXQ,ladder,unidentified,,eyeglass,,,tent,butterfly,,Trident,,,,,,,,,,,,cone,,,,,,,,,person,Wine glass,,,,,,,Ice cream,cup,,,,,logo,,,,,,,,,,,,hourglass,umbrella,canopy,,3. Moderately clear and vivid,2. Vague and dim,3. Moderately clear and vivid,2. Vague and dim,4. Clear and reasonably vivid,3. Moderately clear and vivid,4. Clear and reasonably vivid,4. Clear and reasonably vivid,5. Perfectly clear and as vivid as normal vision,3. Moderately clear and vivid,4. Clear and reasonably vivid,5. Perfectly clear and as vivid as normal vision,3. Moderately clear and vivid,5. Perfectly clear and as vivid as normal vision,4. Clear and reasonably vivid,4. Clear and reasonably vivid
R_67re1CUSK65lHix,door knob,number 10,,,,,arrow,,,,stairs,,dustpan,,,,,,,,,,,,letter F,,,,,,,,,,bicycle,,circled triangle,,,traffic light,,window,,,LG symbol,,bridge,,,,television,,,,,,heavy lift,,chimney,,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision,5. Perfectly clear and as vivid as normal vision
R_1PR4qXLMAceGiOt,,,,,Minor Note,Goal Post,,,,Numeral Three,Basket,,,Music Note,,,,Speed Bump,Steam ,,Crane,,,Square,,,Rectangle,,,,,,,,,,,,,,,,Hook,,,,,,,Female Logo,,,,,,,Spring,Umbrella,house,,3. Moderately clear and vivid,3. Moderately clear and vivid,2. Vague and dim,4. Clear and reasonably vivid,4. Clear and reasonably vivid,5. Perfectly clear and as vivid as normal vision,3. Moderately clear and vivid,3. Moderately clear and vivid,3. Moderately clear and vivid,2. Vague and dim,2. Vague and dim,3. Moderately clear and vivid,2. Vague and dim,3. Moderately clear and vivid,3. Moderately clear and vivid,2. Vague and dim
